ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 1990-91,Locale [Public School] 1989-90,Locale [Public School] 1988-89,Locale [Public School] 1987-88,Locale [Public School] 1986-87,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1989-90,Total Students All Grades (Excludes AE) [Public School] 1988-89,Total Students All Grades (Excludes AE) [Public School] 1987-88,Total Students All Grades (Excludes AE) [Public School] 1986-87,Free Lunch Eligible [Public School] 1990-91,Free Lunch Eligible [Public School] 1989-90,Free Lunch Eligible [Public School] 1988-89,Free Lunch Eligible [Public School] 1987-88,American Indian/Alaska Native Students [Public School] 1990-91,American Indian/Alaska Native Students [Public School] 1989-90,American Indian/Alaska Native Students [Public School] 1988-89,American Indian/Alaska Native Students [Public School] 1987-88,Asian or Asian/Pacific Islander Students [Public School] 1990-91,Asian or Asian/Pacific Islander Students [Public School] 1989-90,Asian or Asian/Pacific Islander Students [Public School] 1988-89,Asian or Asian/Pacific Islander Students [Public School] 1987-88,Hispanic Students [Public School] 1990-91,Hispanic Students [Public School] 1989-90,Hispanic Students [Public School] 1988-89,Hispanic Students [Public School] 1987-88,Black or African American Students [Public School] 1990-91,Black or African American Students [Public School] 1989-90,Black or African American Students [Public School] 1988-89,Black or African American Students [Public School] 1987-88,White Students [Public School] 1990-91,White Students [Public School] 1989-90,White Students [Public School] 1988-89,White Students [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1990-91,Full-Time Equivalent (FTE) Teachers [Public School] 1989-90,Full-Time Equivalent (FTE) Teachers [Public School] 1988-89,Full-Time Equivalent (FTE) Teachers [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1986-87
BROOKELAND EL,Texas,481152000624,4811520,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,147,166,141,142,127,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,2,="0",="0",†,31,37,22,21,125,129,119,121,10.80,11.00,†,9.00,7.00
BROOKELAND H S,Texas,481152000625,4811520,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,70,82,87,83,91,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,="0",="0",="0",†,12,17,12,15,77,65,75,68,8.20,8.00,†,11.00,3.90
BROOKESMITH EL,Texas,481155000626,4811550,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,81,95,89,93,90,–,†,†,†,2,2,1,1,="0",="0",="0",†,9,13,10,13,="0",="0",="0",†,76,80,78,79,22.90,6.00,†,3.00,4.00
BROOKESMITH SCHOOL,Texas,481155000627,4811550,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,42,55,47,41,46,–,†,†,†,1,1,1,1,="0",="0",="0",†,7,7,4,2,="0",="0",="0",†,34,47,42,38,5.60,5.00,†,9.00,6.00
BROOKHOLLOW EL,Texas,482855003225,4828550,5-Large town,5-Large town,5-Large town,5-Large town,†,355,311,403,382,399,–,†,†,†,1,1,="0",2,1,1,2,†,3,4,32,25,135,114,145,141,215,191,224,214,19.10,19.00,†,19.00,19.00
BROOKLINE EL,Texas,482364002409,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,1136,1129,1047,998,955,–,†,†,†,="0",="0",1,†,15,19,23,22,969,895,863,774,110,151,110,129,42,64,50,73,51.80,52.00,†,48.00,40.60
BROOKS-QUINN-JONES EL,Texas,483209003559,4832090,5-Large town,5-Large town,5-Large town,5-Large town,†,522,501,495,539,491,–,†,†,†,="0",="0",="0",†,1,2,="0",7,91,61,60,64,194,197,200,189,236,241,235,279,15.00,15.00,†,15.00,14.40
BROWN EL                                          ,Texas,482850003179,4828500,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,519,515,462,424,454,–,†,†,†,="0",="0",="0",†,="0",="0",1,†,266,257,227,218,45,35,35,38,208,223,199,168,26.70,27.00,†,28.00,23.90
BROWN EL,Texas,480894000304,4808940,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,510,470,478,511,803,–,†,†,†,1,2,5,2,48,53,43,46,275,209,202,216,91,106,109,143,95,100,119,104,35.30,35.00,†,40.00,44.80
BROWN EL,Texas,482442002735,4824420,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,800,840,728,717,709,–,†,†,†,15,12,6,4,13,15,14,13,112,81,58,59,65,70,44,56,595,662,606,585,45.10,45.00,†,38.00,35.80
BROWN EL,Texas,484560005184,4845600,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,524,494,487,716,697,–,†,†,†,1,="0",="0",†,3,7,5,2,15,6,4,5,45,42,43,46,460,439,435,663,31.90,32.00,†,37.00,32.80
BROWN MIDDLE,Texas,482967003331,4829670,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1063,917,876,724,770,–,†,†,†,="0",="0",="0",†,="0",="0",1,†,1060,913,865,723,="0",="0",="0",†,3,4,10,1,55.70,56.00,†,53.00,50.90
BROWN PRI,Texas,484055004588,4840550,6-Small town,6-Small town,6-Small town,6-Small town,†,321,339,367,386,385,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,67,63,62,53,49,52,55,56,205,224,250,277,20.50,20.00,†,24.00,25.90
BROWNE MIDDLE,Texas,481527001041,4815270,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1037,816,946,1310,1331,–,†,†,†,4,5,5,4,4,5,4,6,528,393,450,579,66,51,50,56,435,362,437,665,49.20,49.00,†,65.00,58.00
BROWNFIELD H S,Texas,481161000633,4811610,6-Small town,6-Small town,6-Small town,6-Small town,†,626,632,634,603,616,–,†,†,†,="0",="0",="0",†,2,="0",="0",1,302,290,305,286,30,36,35,32,292,306,294,284,46.20,46.00,†,51.00,50.30
BROWNFIELD INT,Texas,481161000634,4811610,6-Small town,6-Small town,6-Small town,6-Small town,†,442,439,414,401,393,–,†,†,†,="0",1,="0",†,="0",="0",1,4,244,260,212,198,25,25,23,24,173,153,178,175,28.00,28.00,†,25.00,24.00
BROWNFIELD MIDDLE,Texas,481161000635,4811610,6-Small town,6-Small town,6-Small town,6-Small town,†,624,615,569,609,597,–,†,†,†,1,="0",="0",†,3,3,="0",4,345,307,267,294,33,35,33,38,242,270,269,273,39.90,40.00,†,35.00,41.00
BROWNFIELD PK,Texas,481161006074,4811610,6-Small town,6-Small town,6-Small town,6-Small town,†,111,123,113,125,106,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,86,101,90,102,11,9,13,11,14,13,10,12,6.00,6.00,†,6.00,4.00
BROWNING EL,Texas,482364002410,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,578,542,532,505,479,–,†,†,†,="0",1,="0",2,5,5,7,3,546,499,482,454,2,3,4,8,25,34,39,38,23.00,23.00,†,26.00,24.90
BROWNSBORO EL,Texas,481164000638,4811640,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,348,359,317,466,464,–,†,†,†,="0",="0",="0",†,1,="0",="0",†,11,7,2,5,40,41,39,69,296,311,276,392,18.90,19.00,†,25.00,24.90
BROWNSBORO H S,Texas,481164000639,4811640,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,455,620,668,607,623,–,†,†,†,2,1,1,†,1,4,5,2,11,9,8,2,99,117,135,127,519,489,519,476,38.00,38.00,†,37.00,34.00
BROWNSBORO INT,Texas,481164006516,4811640,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,383,328,302,†,†,–,†,†,†,="0",1,="0",†,="0",="0",1,†,12,8,9,†,52,54,52,†,320,265,240,†,17.60,18.00,†,†,†
BROWNSBORO J H,Texas,481164005414,4811640,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,288,294,283,454,451,–,†,†,†,1,="0",="0",1,="0",="0",2,4,4,2,6,4,57,42,35,63,226,250,240,382,17.50,18.00,†,24.00,21.80
BROWNSVILLE ALTERNATIVE,Texas,481168006655,4811680,†,2-Midsize city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,6.00,†,†,†
BROWNWOOD H S,Texas,481170000672,4811700,6-Small town,6-Small town,6-Small town,6-Small town,†,978,1040,1058,1041,1070,–,†,†,†,2,1,1,†,2,1,2,6,169,180,166,165,68,75,81,71,737,783,808,799,70.00,70.00,†,69.00,65.50
BROWNWOOD INT,Texas,481170005850,4811700,6-Small town,6-Small town,6-Small town,6-Small town,†,280,300,307,298,271,–,†,†,†,="0",3,="0",2,2,1,2,3,58,52,46,52,23,18,26,18,197,226,233,223,15.40,19.00,†,15.00,16.00
BROWNWOOD MIDDLE,Texas,481170000673,4811700,6-Small town,6-Small town,6-Small town,6-Small town,†,594,622,600,557,579,–,†,†,†,5,2,2,†,3,3,1,†,108,114,105,97,36,45,43,41,442,458,449,419,43.50,44.00,†,45.00,45.50
BROWNWOOD RECEPTION CTR,Texas,489916005360,4899160,†,†,†,6-Small town,†,†,†,†,103,104,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,41,†,†,†,33,†,†,†,29,†,†,†,="0.00",="0.00"
BROWNWOOD STATE SCHOOL,Texas,489916005361,4899160,†,†,†,6-Small town,†,†,†,†,234,204,†,†,†,†,†,†,†,1,†,†,†,1,†,†,†,114,†,†,†,61,†,†,†,57,†,†,†,="0.00",="0.00"
BRUCE EL,Texas,482364002411,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,498,464,471,440,480,–,†,†,†,="0",="0",="0",†,23,24,26,29,98,75,89,81,369,356,352,326,8,9,4,4,33.50,34.00,†,33.00,38.90
BRUCE J H,Texas,482070002080,4820700,6-Small town,6-Small town,6-Small town,6-Small town,†,486,462,440,491,469,–,†,†,†,="0",="0",1,†,="0",="0",="0",1,11,9,9,8,90,86,89,106,385,367,341,376,27.40,27.00,†,26.00,28.80
BRUCE SHULKEY EL,Texas,481970001909,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,552,637,601,530,491,–,†,†,†,1,2,3,3,10,30,42,20,51,53,49,42,70,80,74,105,420,472,433,360,36.20,36.00,†,22.00,25.30
BRUCEVILLE-EDDY EL,Texas,481173000678,4811730,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,308,301,395,391,353,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,49,38,47,48,5,10,19,8,254,253,329,335,21.50,22.00,†,20.00,16.30
BRUCEVILLE-EDDY H S,Texas,481173000679,4811730,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,244,255,154,151,153,–,†,†,†,="0",="0",="0",†,="0",1,="0",†,26,22,12,10,4,7,3,†,214,225,139,141,13.50,14.00,†,12.00,10.00
BRUNDRETT MIDDLE,Texas,483537005798,4835370,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,85,77,78,83,89,–,†,†,†,="0",="0",="0",†,="0",3,2,4,6,7,5,6,="0",="0",="0",†,79,67,71,73,9.90,10.00,†,8.00,8.60
BRUNI EL,Texas,482679003010,4826790,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,396,376,377,448,443,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,395,373,374,444,="0",="0",="0",†,1,3,3,4,24.00,24.00,†,26.00,32.00
BRUNI H S,Texas,484481005103,4844810,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,84,60,59,62,59,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,76,54,54,57,="0",="0",="0",†,8,6,5,5,11.50,12.00,†,15.00,12.90
BRUNI MIDDLE,Texas,484481005613,4844810,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,79,84,68,76,100,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,68,72,59,69,="0",="0",="0",†,11,12,9,7,10.10,10.00,†,6.00,6.40
BRUSHY CREEK EL,Texas,483808005802,4838080,6-Small town,6-Small town,6-Small town,6-Small town,†,738,680,608,701,954,–,†,†,†,4,6,6,1,22,28,12,12,43,37,40,29,28,24,25,23,641,585,525,636,43.00,42.00,†,42.00,50.70
BRYAN ADAMS H S,Texas,481623001205,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,1698,1736,1727,1891,1926,–,†,†,†,14,9,9,7,120,122,96,101,320,307,284,293,319,349,356,406,925,949,982,1084,99.70,100.00,†,95.00,89.60
BRYAN EL,Texas,483104003493,4831040,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,647,551,545,536,460,–,†,†,†,1,5,11,†,2,7,="0",3,519,434,427,418,3,2,2,2,122,103,105,113,34.50,34.00,†,30.00,24.00
BRYKER WOODS EL,Texas,480894000305,4808940,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,357,343,308,274,232,–,†,†,†,="0",="0",1,†,4,4,3,1,50,56,41,41,28,34,35,30,275,249,228,202,20.50,20.00,†,19.00,15.40
BRYSON EL,Texas,481182000694,4811820,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,122,145,146,140,139,–,†,†,†,1,4,1,†,="0",="0",="0",†,3,4,8,7,1,1,="0",†,118,136,137,133,8.30,8.00,†,6.00,10.30
BRYSON EL,Texas,481770006095,4817700,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,700,719,722,803,816,–,†,†,†,2,3,2,3,29,19,20,62,51,58,67,60,15,9,11,8,603,630,622,670,33.00,33.00,†,36.00,36.70
BRYSON SCHOOL,Texas,481182000695,4811820,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,94,116,125,142,127,–,†,†,†,1,3,="0",†,="0",="0",="0",†,3,1,="0",†,1,1,="0",†,106,111,125,142,7.70,8.00,†,17.00,9.80
BUCKHOLTS ELEMENTARY,Texas,481185000696,4811850,†,†,†,†,†,†,†,†,†,74,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,3.00
BUCKHOLTS SCHOOL,Texas,481185000697,4811850,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,135,134,135,156,67,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,59,62,50,49,="0",="0",="0",†,76,72,85,107,11.80,12.00,†,11.00,5.00
BUDA INTERMEDIATE,Texas,480001006194,4800010,†,†,†,†,†,†,†,†,†,372,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,27.00
BUDA PRI                                          ,Texas,480001006345,4800010,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,558,603,586,591,†,–,†,†,†,="0",2,5,4,1,6,8,5,258,260,224,233,28,28,25,20,302,307,324,329,36.90,37.00,†,38.00,†
BUDA PRIMARY,Texas,480001006193,4800010,†,†,†,†,†,†,†,†,†,388,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,22.00
BUELL EL,Texas,483486003911,4834860,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,281,340,371,445,480,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,352,339,370,440,="0",="0",1,1,1,1,="0",4,20.20,19.00,†,22.00,21.50
BUENA VISTA EL,Texas,483890005808,4838900,5-Large town,5-Large town,5-Large town,5-Large town,†,686,636,585,503,591,–,†,†,†,="0",="0",="0",†,8,6,7,4,402,362,334,283,7,9,11,9,269,259,233,207,35.40,35.00,†,27.00,28.30
BUENA VISTA ELEMENTARY,Texas,484092004651,4840920,†,†,†,†,†,†,†,†,†,367,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,18.80
BUENA VISTA ELEMENTARY SCHOOL,Texas,481191000698,4811910,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,91,99,101,105,114,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,34,41,43,44,="0",="0",="0",†,57,58,58,61,10.40,10.00,†,6.00,11.00
BUENA VISTA SCHOOL,Texas,481191000699,4811910,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,76,77,76,75,80,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,38,46,39,42,="0",="0",="0",†,38,31,37,33,11.60,12.00,†,17.00,8.40
BUFFALO EL,Texas,481199000700,4811990,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,556,526,535,536,523,–,†,†,†,="0",="0",="0",†,1,1,1,†,39,41,35,32,67,59,62,63,449,425,437,441,31.00,31.00,†,29.00,31.70
BUFFALO GAP EL,Texas,482478002770,4824780,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,238,216,207,205,176,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,13,10,11,5,3,3,3,3,222,203,193,197,15.80,16.00,†,12.00,9.00
BUFFALO H S,Texas,481199000701,4811990,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,194,205,183,196,213,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,15,13,12,10,28,27,21,27,150,165,150,159,16.00,16.00,†,16.00,14.90
BULLARD EL,Texas,481206000702,4812060,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,405,414,382,381,380,–,†,†,†,1,="0",="0",†,3,="0",2,2,10,9,8,4,29,27,24,25,362,378,348,350,24.10,24.00,†,22.00,22.80
BULLARD H S,Texas,481206000703,4812060,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,256,262,279,297,267,–,†,†,†,1,="0",="0",1,1,1,1,†,4,4,2,2,22,18,18,16,228,239,258,278,22.60,23.00,†,28.00,21.30
BULLARD MIDDLE,Texas,481206005664,4812060,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,232,220,208,219,201,–,†,†,†,="0",="0",="0",†,1,="0",="0",†,1,1,1,1,10,12,11,13,220,207,196,205,16.60,17.00,†,11.00,12.90
BULLOCK EL,Texas,482034002012,4820340,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,462,423,377,339,325,–,†,†,†,8,4,5,6,53,61,56,50,94,87,69,57,65,45,29,37,242,226,218,189,21.00,21.00,†,23.00,22.00
BUNA EL,Texas,481209000704,4812090,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,656,640,750,705,667,–,†,†,†,2,3,3,3,1,2,1,1,6,3,6,6,46,52,34,30,601,580,706,665,35.00,35.00,†,34.00,31.00
BUNA H S,Texas,481209000705,4812090,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,284,407,464,479,502,–,†,†,†,1,1,3,2,="0",="0",1,†,4,2,3,2,28,31,30,28,373,373,427,447,30.80,31.00,†,34.00,31.50
BUNA J H,Texas,481209000706,4812090,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,495,471,510,496,469,–,†,†,†,1,2,4,6,2,1,1,2,3,4,5,†,28,35,34,35,461,429,466,453,28.30,28.00,†,27.00,25.40
BUNCHE EARLY CHILDHD CTR,Texas,483057005553,4830570,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,323,385,300,476,217,–,†,†,†,="0",="0",="0",1,="0",="0",="0",1,215,228,178,248,84,85,40,126,24,72,82,100,13.50,13.00,†,17.00,31.30
BUNKER HILL EL,Texas,484110004671,4841100,1-Large city,1-Large city,1-Large city,1-Large city,†,483,410,435,452,415,–,†,†,†,="0",="0",="0",†,57,54,51,52,67,56,73,77,11,10,30,33,348,290,281,290,23.20,23.00,†,26.00,23.90
BURBANK EL,Texas,482364002412,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,1077,1041,1069,1049,1028,–,†,†,†,="0",="0",2,†,11,7,2,3,730,654,642,624,235,246,297,275,101,134,126,147,66.10,66.00,†,63.00,72.90
BURBANK H S,Texas,483873004330,4838730,1-Large city,1-Large city,1-Large city,1-Large city,†,1570,1585,1653,1685,1605,–,†,†,†,="0",="0",="0",†,2,4,4,†,1504,1522,1600,1628,1,="0",1,2,63,59,48,55,87.00,87.00,†,88.00,88.40
BURBANK MIDDLE,Texas,482364002413,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,1514,1570,1557,1470,1465,–,†,†,†,1,1,1,1,16,13,15,12,1064,1069,1011,891,304,329,364,395,129,158,166,171,77.90,78.00,†,79.00,76.30
BURGES H S,Texas,481830001669,4818300,1-Large city,1-Large city,1-Large city,1-Large city,†,1891,1965,1970,2107,2102,–,†,†,†,1,2,2,1,12,16,14,20,1609,1647,1649,1730,34,33,37,31,235,267,268,325,107.40,107.00,†,116.00,86.50
BURGES KIND,Texas,483969004504,4839690,6-Small town,6-Small town,6-Small town,6-Small town,†,308,304,325,338,729,–,†,†,†,="0",="0",="0",†,6,2,2,2,155,150,159,183,28,37,28,30,119,115,136,123,19.10,19.00,†,18.00,22.90
BURGESS EL,Texas,484578005202,4845780,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,467,470,492,494,485,–,†,†,†,3,3,="0",†,9,9,22,23,45,52,59,61,229,221,222,202,181,185,189,208,34.60,30.00,†,30.00,23.90
BURKBURNETT H S,Texas,481212000707,4812120,6-Small town,6-Small town,6-Small town,6-Small town,†,912,904,902,943,944,–,†,†,†,4,8,5,6,18,25,26,21,33,33,32,36,73,63,59,57,784,775,780,823,63.50,63.00,†,76.00,62.50
BURKBURNETT MIDDLE,Texas,481212000708,4812120,6-Small town,6-Small town,6-Small town,6-Small town,†,751,706,781,741,757,–,†,†,†,1,3,6,5,11,9,15,15,32,32,28,27,60,52,51,50,647,610,681,644,50.70,51.00,†,46.00,42.40
BURKEVILLE EL,Texas,481215000712,4812150,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,238,239,244,258,278,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,4,4,3,5,117,127,123,128,117,108,118,125,16.20,16.00,†,15.00,13.00
BURKEVILLE SCHOOL,Texas,481215000713,4812150,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,173,166,172,173,183,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,3,1,1,†,87,80,90,97,83,85,81,76,13.90,14.00,†,19.00,20.00
BURKS EL,Texas,482985003356,4829850,6-Small town,6-Small town,6-Small town,6-Small town,†,397,469,415,381,370,–,†,†,†,2,="0",3,†,1,2,3,4,55,51,35,37,36,61,82,83,408,355,292,257,23.00,26.00,†,18.00,26.90
BURLESON EL,Texas,481830001670,4818300,1-Large city,1-Large city,1-Large city,1-Large city,†,674,673,628,620,694,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,664,661,618,605,3,3,1,2,7,9,9,13,43.70,44.00,†,34.00,48.20
BURLESON EL,Texas,481800001571,4818000,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,491,535,638,540,588,–,†,†,†,="0",="0",="0",†,2,2,2,3,295,308,343,283,21,18,6,5,173,207,287,249,33.40,33.00,†,32.00,35.00
BURLESON ELEMENTARY,Texas,483000003369,4830000,†,†,†,7-Rural - outside CBSA/MSA,†,†,†,†,179,177,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,110,†,†,†,†,†,†,†,69,†,†,†,9.00,10.20
BURLESON ELEMENTARY SCHOOL                        ,Texas,481815001608,4818150,1-Large city,1-Large city,1-Large city,1-Large city,†,568,562,549,553,562,–,†,†,†,="0",="0",="0",†,="0",="0",="0",1,561,558,543,542,2,4,4,7,5,="0",2,3,31.40,31.00,†,33.00,29.10
BURLESON H S,Texas,481218000715,4812180,6-Small town,6-Small town,6-Small town,6-Small town,†,1088,1111,1155,1223,1183,–,†,†,†,6,2,3,2,17,12,9,6,43,34,35,32,="0",="0",="0",†,1038,1063,1108,1183,70.30,70.00,†,76.00,93.50
BURNET ALT SCHOOL,Texas,482115006707,4821150,†,2-Midsize city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,6.00,†,†,†
BURNET EL,Texas,481830001671,4818300,1-Large city,1-Large city,1-Large city,1-Large city,†,513,479,491,536,555,–,†,†,†,="0",="0",="0",†,3,3,5,4,391,357,334,356,41,42,65,69,78,77,87,107,29.40,29.00,†,29.00,29.10
BURNET EL,Texas,482028001998,4820280,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,684,712,748,719,870,–,†,†,†,="0",="0",="0",†,="0",="0",4,1,192,189,189,168,335,358,348,360,157,165,207,190,47.20,47.00,†,51.00,49.90
BURNET EL,Texas,482364002414,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,979,977,994,999,1063,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,973,967,984,992,="0",2,3,1,6,8,7,6,55.90,56.00,†,57.00,51.10
BURNET EL,Texas,481800001572,4818000,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,683,619,726,716,671,–,†,†,†,="0",1,2,†,1,1,="0",2,125,95,132,116,32,17,22,15,525,505,570,583,32.00,32.00,†,35.00,33.90
