Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District],Total Number Operational Schools [Public School] 1995-96,Total Number Operational Schools [Public School] 1994-95,Total Number Operational Schools [Public School] 1993-94,Total Number Operational Schools [Public School] 1992-93,Total Number Operational Schools [Public School] 1991-92,Locale [District] 1995-96,Locale [District] 1994-95,Locale [District] 1993-94,Locale [District] 1992-93,Locale [District] 1991-92,School District Level Code (SCHLEV) [District Finance] 1995-96,School District Level Code (SCHLEV) [District Finance] 1994-95,School District Level Code (SCHLEV) [District Finance] 1991-92,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Individualized Education Program Students [District] 1995-96,Individualized Education Program Students [District] 1994-95,Individualized Education Program Students [District] 1993-94,Individualized Education Program Students [District] 1992-93,Individualized Education Program Students [District] 1991-92,American Indian/Alaska Native Students [Public School] 1995-96,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1993-94,American Indian/Alaska Native Students [Public School] 1992-93,American Indian/Alaska Native Students [Public School] 1991-92,Asian or Asian/Pacific Islander Students [Public School] 1995-96,Asian or Asian/Pacific Islander Students [Public School] 1994-95,Asian or Asian/Pacific Islander Students [Public School] 1993-94,Asian or Asian/Pacific Islander Students [Public School] 1992-93,Asian or Asian/Pacific Islander Students [Public School] 1991-92,Hispanic Students [Public School] 1995-96,Hispanic Students [Public School] 1994-95,Hispanic Students [Public School] 1993-94,Hispanic Students [Public School] 1992-93,Hispanic Students [Public School] 1991-92,Black or African American Students [Public School] 1995-96,Black or African American Students [Public School] 1994-95,Black or African American Students [Public School] 1993-94,Black or African American Students [Public School] 1992-93,Black or African American Students [Public School] 1991-92,White Students [Public School] 1995-96,White Students [Public School] 1994-95,White Students [Public School] 1993-94,White Students [Public School] 1992-93,White Students [Public School] 1991-92,Total General Revenue (TOTALREV) [District Finance] 1995-96,Total General Revenue (TOTALREV) [District Finance] 1994-95,Total General Revenue (TOTALREV) [District Finance] 1991-92,Total Expenditures (TOTALEXP) [District Finance] 1995-96,Total Expenditures (TOTALEXP) [District Finance] 1994-95,Total Expenditures (TOTALEXP) [District Finance] 1991-92,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1995-96,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1994-95,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1991-92,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1995-96,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1994-95,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1991-92,Total Current Expenditures - Non El-Sec Programs (TNONELSE) per Pupil (V33) [District Finance] 1995-96,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 1995-96
JUNO CSD,Texas,4825050,VAL VERDE,†,†,†,†,1,†,†,†,†,5-Large town,†,†,01-Elementary school system only,†,†,†,†,8,†,†,†,†,0,†,†,†,†,0,†,†,†,†,1,†,†,†,†,7,†,†,†,†,0,†,†,†,†,0,†,†,62000,0,0,54000,†,†,8857,†,†,7714,†,†
KARNACK ISD,Texas,4825110,HARRISON,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,435,398,431,429,452,71,76,74,77,79,0,0,0,0,0,0,0,1,0,0,8,3,1,1,1,274,271,267,279,288,153,124,162,149,163,3143000,2863000,2687000,2560000,2830000,2457000,7225,7193,5945,5885,7111,5436,0,5593
KARNES CITY ISD,Texas,4825140,KARNES,3,3,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1106,1075,1064,1058,1026,136,109,106,94,66,0,0,0,0,0,0,0,0,0,0,635,629,637,641,618,48,45,45,43,41,423,401,382,374,365,6313000,5406000,4789000,5968000,5618000,4656000,5708,5029,4668,5396,5226,4538,40,4902
KATY ISD,Texas,4825170,HARRIS,23,24,24,24,23,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,25231,23745,22537,21659,20513,2279,2075,1922,1826,1520,21,21,20,20,28,1024,925,871,794,743,2898,2608,2388,2216,2029,1193,1121,1022,981,934,20095,19070,18304,17648,16722,149186000,128954000,95753000,152924000,137550000,95228000,5913,5431,4668,6061,5793,4642,14,4441
KAUFMAN ISD,Texas,4825200,KAUFMAN,6,5,5,5,5,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2889,2833,2802,2748,2717,391,381,390,350,315,2,1,3,1,1,5,6,3,6,3,583,564,540,515,511,270,292,265,252,270,2029,1970,1992,1974,1932,15529000,13334000,11577000,15219000,12460000,9602000,5375,4707,4261,5268,4398,3534,1,3868
KEENE ISD,Texas,4825230,JOHNSON,5,5,4,4,5,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,714,696,663,626,634,199,213,196,191,187,2,0,3,2,3,31,22,17,11,11,204,207,198,190,187,118,111,91,75,73,359,356,354,348,360,6394000,5872000,4374000,6429000,4764000,3513000,8955,8437,6899,8983,6822,5541,0,6259
KELLER ISD,Texas,4825260,TARRANT,14,13,11,11,11,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,11880,10971,10250,9527,8901,863,824,735,651,660,38,38,36,31,45,450,399,384,370,368,693,580,512,435,372,383,359,311,256,234,10316,9595,9023,8435,7874,58605000,50571000,35318000,62979000,71577000,33698000,4933,4610,3968,5301,6524,3786,1,3745
KELTON ISD,Texas,4825290,WHEELER,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,41,65,62,55,60,8,14,12,6,5,0,0,0,0,0,0,0,0,0,0,10,5,3,4,1,2,3,2,2,0,29,57,57,49,58,1128000,1354000,818000,855000,820000,748000,27512,20831,13633,20854,12492,12467,0,12488
KEMP ISD,Texas,4825320,KAUFMAN,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1608,1596,1445,1411,1360,226,222,203,189,165,8,5,6,10,6,3,3,2,1,2,77,61,57,54,58,60,60,56,57,59,1460,1467,1326,1289,1231,9490000,8298000,6553000,8817000,7658000,5711000,5902,5199,4818,5458,4795,4199,0,4826
KENDLETON ISD,Texas,4825380,FORT BEND,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,110,148,141,130,112,11,23,19,10,6,0,1,2,0,0,0,0,0,0,0,37,38,42,28,27,72,106,93,98,85,1,3,4,4,0,1254000,1521000,974000,1101000,1082000,574000,11400,10277,8696,10009,7162,5125,0,9573
